,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Latitude,Longitude
5041,850000,700.0,110,3,4,1,2,1,0,1,0,Mooca/São Paulo,-23.5676248,-46.5836587
5042,530000,1300.0,107,2,2,1,1,0,0,0,0,Mooca/São Paulo,-23.5671568,-46.5913476
5043,425000,450.0,64,2,2,1,2,1,0,1,0,Mooca/São Paulo,-23.5577328,-46.5815283
5044,900000,970.0,112,3,2,1,2,0,0,1,0,Mooca/São Paulo,-23.5564048,-46.606369
5045,526000,400.0,70,2,2,1,1,0,0,1,0,Mooca/São Paulo,-23.559428,-46.595386
5046,495000,535.1147231726444,60,2,2,1,2,0,0,1,0,Mooca/São Paulo,-23.5618727,-46.5801711
5047,350000,600.0,79,2,1,0,1,0,0,0,0,Mooca/São Paulo,-23.5803283,-46.5915894
5048,1000000,820.0,122,3,3,2,2,0,0,1,0,Mooca/São Paulo,-23.5623176,-46.6037017
5049,636000,677.0184204629763,74,2,2,1,2,0,0,1,0,Mooca/São Paulo,-23.5552465,-46.5883667
5050,420000,504.7871297208684,63,2,1,0,1,1,0,0,0,Mooca/São Paulo,-23.5673715,-46.5799297
5051,459400,549.1419502694694,68,3,2,1,1,1,0,1,1,Mooca/São Paulo,-23.5471924,-46.6056923
5052,670000,1480.0,110,3,2,1,2,0,0,1,0,Mooca/São Paulo,-23.5633306,-46.594232
5053,827900,939.0704250795359,109,3,4,3,2,0,0,1,0,Mooca/São Paulo,-23.559428,-46.595386
5054,270000,250.0,35,1,2,1,1,0,0,1,0,Mooca/São Paulo,-23.5560586,-46.6194463
5055,999000,1800.0,190,2,3,2,3,0,0,1,0,Mooca/São Paulo,-23.5585862,-46.6001676
5056,560000,750.0,110,2,1,0,1,0,1,0,0,Mooca/São Paulo,-23.5608778,-46.6015356
5057,550000,770.0,80,3,2,1,2,0,1,1,0,Mooca/São Paulo,-23.5568517,-46.6043505
5058,531000,505.0,70,2,2,1,1,1,0,1,1,Mooca/São Paulo,-23.559428,-46.595386
5059,550000,500.0,63,2,2,1,2,1,0,1,0,Mooca/São Paulo,-23.559428,-46.595386
5060,689900,500.0,86,3,2,1,1,0,0,1,0,Mooca/São Paulo,-23.55736,-46.6046844
5061,620000,638.0,76,3,2,1,2,0,1,1,0,Mooca/São Paulo,-23.5515271,-46.6021199
5062,410000,360.0,63,3,2,1,1,0,1,1,0,Mooca/São Paulo,-23.5496259,-46.6113732
5063,229310,480.0,60,2,1,0,1,1,0,0,0,Mooca/São Paulo,-23.5537483,-46.6220122
5064,580000,1368.0,125,3,2,1,1,0,0,1,0,Mooca/São Paulo,-23.561358,-46.5985842
5065,270000,300.0,77,2,1,0,1,1,0,0,0,Mooca/São Paulo,-23.5544909,-46.5933179
5066,490245,550.0,65,2,2,1,1,0,0,1,0,Mooca/São Paulo,-23.5618259,-46.5801923
5067,530000,589.8961909034326,68,2,2,1,2,0,0,0,0,Mooca/São Paulo,-23.5703151,-46.5759618
5068,320000,740.0,55,2,1,0,1,0,0,1,0,Mooca/São Paulo,-23.5585178,-46.5948037
5069,480000,578.3221762873463,72,3,1,0,1,1,0,0,0,Mooca/São Paulo,-23.5587624,-46.5941499
5070,1408000,1600.0,108,2,3,2,2,0,0,0,0,Brooklin/São Paulo,-23.6040517,-46.6948844
5071,579000,390.0,63,2,2,1,1,0,0,1,0,Brooklin/São Paulo,-23.622119,-46.686306
5072,670000,790.0,63,2,2,1,2,0,0,1,0,Brooklin/São Paulo,-23.5634559,-46.6408459
5073,540000,1000.0,75,2,1,0,1,0,0,0,0,Brooklin/São Paulo,-23.605129,-46.692501
5074,1400000,1200.0,125,3,4,3,3,0,0,1,0,Brooklin/São Paulo,-23.6223085,-46.6956178
5075,980000,1200.0,83,1,2,1,1,0,1,1,0,Brooklin/São Paulo,-23.6099141,-46.6816952
5076,870000,900.0,97,3,2,1,1,0,0,1,0,Brooklin/São Paulo,-23.6110106,-46.6825191
5077,1800000,2090.0,158,2,3,2,2,0,0,1,0,Brooklin/São Paulo,-23.6116456,-46.6787316
5078,1400000,1850.0,152,3,3,2,3,0,0,1,0,Brooklin/São Paulo,-23.6122223,-46.6826425
5079,640000,880.0,59,2,2,1,1,0,0,1,0,Brooklin/São Paulo,-23.6108304,-46.6873233
5080,1300000,1900.0,136,3,3,2,3,0,0,1,0,Brooklin/São Paulo,-23.6075553,-46.6916043
5081,926012,700.0,79,2,2,1,2,0,0,0,0,Brooklin/São Paulo,-23.6251021,-46.6930767
5082,1260545,1500.0,105,3,4,3,2,1,0,0,0,Brooklin/São Paulo,-23.6251021,-46.6930767
5083,1198000,1450.0,119,2,2,1,2,0,0,1,0,Brooklin/São Paulo,-23.6000081,-46.6878647
5084,585000,900.0,50,1,2,1,1,0,0,1,0,Brooklin/São Paulo,-23.6186739,-46.6853961
5085,1259000,850.0,80,2,2,1,1,0,0,1,0,Brooklin/São Paulo,-23.6116403,-46.6926875
5086,1770000,2800.0,180,4,3,2,4,0,0,1,0,Brooklin/São Paulo,-23.6100161,-46.6817975
5087,980862,988.468871344362,100,3,2,1,2,0,0,1,0,Brooklin/São Paulo,-23.5053909,-46.6227832
5088,2109500,3400.0,315,4,6,4,4,0,0,1,0,Brooklin/São Paulo,-23.610753,-46.6811536
5089,1300000,1200.0,139,4,2,1,1,0,0,1,0,Brooklin/São Paulo,-23.6165496,-46.6792578
5090,800000,1481.0,76,2,2,1,2,1,0,0,0,Brooklin/São Paulo,-23.6069955,-46.69516
5091,1950000,1600.0,138,2,3,2,2,0,0,0,0,Brooklin/São Paulo,-23.6172149,-46.6840777
5092,1462500,900.0,128,3,4,3,3,0,0,1,0,Brooklin/São Paulo,-23.6126842,-46.6851879
5093,1380000,1581.9374930725571,184,3,2,1,2,1,0,0,0,Brooklin/São Paulo,-23.6100398,-46.6825835
5094,1200000,2217.0,121,3,2,1,3,0,0,0,0,Brooklin/São Paulo,-23.6104856,-46.6811616
5095,592617,613.0756290893394,65,2,2,1,1,1,0,1,1,Brooklin/São Paulo,-23.6126716,-46.68521045
5096,1950000,2600.0,210,3,2,1,2,0,0,0,0,Brooklin/São Paulo,-23.610067,-46.682032
5097,1300000,1800.0,169,3,4,3,2,0,0,0,0,Brooklin/São Paulo,-23.6220498,-46.6808683
5098,850000,1680.0,116,3,2,1,2,0,0,1,0,Brooklin/São Paulo,-23.6120761,-46.6818755
5099,620000,870.0,62,2,2,1,1,0,0,1,0,Brooklin/São Paulo,-23.6127102,-46.6837266
5100,1070000,1000.0,93,2,2,1,2,0,0,1,0,Brooklin/São Paulo,-23.6154236,-46.6859729
5101,2239000,1490.0,167,3,4,3,3,0,0,1,0,Brooklin/São Paulo,-23.6119465,-46.6914314
5102,1890000,1442.0,178,4,4,3,3,0,0,1,0,Brooklin/São Paulo,-23.6155658,-46.6807763
5103,1500000,1400.0,98,2,2,1,2,0,1,1,0,Brooklin/São Paulo,-23.6068912,-46.6959343
5104,1500000,1461.0317746341498,140,3,3,2,2,0,0,1,0,Brooklin/São Paulo,-23.6106241,-46.6813139
