,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,district_class
198,1070000,1000.0,93,2,2,1,2,0,0,1,B
199,2239000,1490.0,167,3,4,3,3,0,0,1,B
200,1890000,1442.0,178,4,4,3,3,0,0,1,B
201,1500000,1400.0,98,2,2,1,2,0,1,1,B
202,1500000,1461.0317746341498,140,3,3,2,2,0,0,1,B
203,2700000,2326.626034673533,180,2,3,2,2,0,1,0,B
204,3150000,2716.0567398265343,210,4,4,3,3,1,1,0,B
205,1500000,650.0,184,3,2,1,2,0,0,0,B
206,636000,850.0,65,2,1,0,1,0,0,0,B
207,1800000,2800.0,180,4,4,3,3,0,0,1,B
208,3460000,2200.0,240,3,4,3,4,0,0,1,B
209,2150000,1580.0,178,3,4,3,3,0,0,1,B
210,580000,627.4033485748121,70,2,2,0,1,0,0,0,B
211,2350000,1625.0,178,2,3,2,3,1,0,1,B
212,640000,750.0,67,3,2,1,1,0,0,0,B
213,2400000,1580.0,178,3,4,3,3,1,0,1,B
214,3200000,2300.0,226,4,5,4,4,0,0,1,B
215,1550000,1567.693980452978,158,4,4,3,3,0,0,1,B
216,885000,760.0,72,2,2,1,2,0,0,1,B
217,1350000,1700.0,170,4,4,3,2,0,0,1,B
218,1800000,1876.25110306791,196,4,3,2,3,0,0,0,B
219,2660000,2173.870098074708,150,3,4,3,3,0,1,1,B
220,800000,862.4543285781733,95,3,3,2,2,0,0,1,B
221,1700000,1200.0,121,2,2,1,2,0,0,1,B
222,1400000,2630.0,96,2,3,2,2,0,1,1,B
223,3600000,3096.843063961105,238,4,4,3,4,0,0,1,B
224,980000,1300.0,115,3,2,1,1,1,0,0,B
225,1290000,2527.0,187,3,2,1,2,0,0,0,B
226,2100000,1841.9626185432548,148,3,4,3,2,0,0,1,B
227,1900000,1100.0,134,3,4,3,3,0,0,1,B
228,960000,1300.0,75,2,2,1,1,0,0,0,B
229,2400000,2850.0,198,4,4,3,1,0,0,1,B
230,1050000,1110.500784064088,119,3,2,1,2,1,0,0,B
231,1950000,1500.0,172,3,4,3,3,1,0,1,B
232,3600000,3088.1986829426737,236,4,4,3,4,0,0,1,B
233,530000,400.0,49,1,2,1,1,0,0,0,B
234,1200000,1048.0,77,1,2,1,2,0,1,1,B
235,1500000,1461.0317746341498,140,3,2,1,3,0,0,1,B
236,1600000,1613.8455191427884,162,3,4,3,3,0,0,1,B
237,1700000,1904.969359946324,216,4,3,2,3,0,0,0,B
238,1900000,1050.0,227,3,4,3,3,0,0,1,B
239,1906000,1600.0,138,2,3,2,2,0,0,1,B
240,1900000,1653.0342732747972,131,2,3,2,2,0,1,1,B
241,1600000,1400.0,99,2,2,1,2,0,1,0,B
242,759000,873.3643757964799,103,4,4,2,2,1,0,1,C
243,449999,500.0,55,2,2,1,1,0,0,0,B
244,194900,240.0,31,1,2,1,1,1,0,0,C
245,390000,495.0,85,2,2,1,1,1,0,0,B
246,580000,525.0,58,2,2,1,1,0,0,1,B
247,723000,460.0,100,3,3,1,2,1,0,1,C
248,720000,750.0,100,3,3,1,2,1,0,1,C
249,310000,315.9454963171316,34,1,2,1,1,1,1,1,C
250,500000,380.0,69,2,2,1,1,1,0,1,C
251,300000,180.0,34,2,2,1,1,1,0,0,C
252,570000,480.0,70,2,2,1,1,1,0,1,C
253,530000,350.0,69,2,2,1,1,1,0,1,C
254,430000,580.0,58,2,2,1,1,1,0,0,B
255,391000,470.0,67,2,2,1,1,1,0,1,C
256,435000,400.0,67,2,2,1,1,1,0,1,C
257,530000,840.0,93,3,2,1,2,1,0,1,C
258,470000,460.0,64,3,2,1,2,1,0,0,B
259,580000,650.0,68,2,2,1,1,1,0,1,B
260,490000,540.8728265257806,62,2,2,1,1,1,0,1,C
261,695000,720.0,76,3,2,1,2,1,1,1,C
262,730000,843.6573938101232,100,3,3,1,2,1,0,0,C
263,774000,800.0,100,3,3,1,2,1,0,1,C
264,1290000,900.0,132,3,3,1,2,1,0,1,C
265,751665,560.0,93,3,3,1,2,1,0,1,C
266,550000,500.0,70,3,2,1,1,1,0,1,C
267,642000,702.0929062074079,79,3,2,1,1,0,0,0,C
268,580000,680.0,68,2,2,1,1,1,0,1,B
269,940000,900.0,102,3,3,1,2,0,0,1,B
270,525000,520.0,51,1,2,1,1,1,0,1,B
271,418886,350.0,61,2,2,1,1,1,0,1,C
272,323000,320.0,34,1,2,1,1,1,0,1,B
273,323000,325.0,34,1,2,1,1,1,0,1,B
274,340000,1300.0,50,1,2,1,1,1,1,1,B
275,328000,350.0,40,1,2,1,1,1,0,1,B
276,475000,532.0,40,1,2,1,1,1,0,1,B
277,1900000,2570.0,191,3,3,1,1,0,0,0,B
278,338000,380.0,37,1,2,1,1,1,0,1,B
279,325000,642.0,50,1,2,1,1,1,0,0,B
280,365000,250.0,36,1,2,1,2,1,0,1,B
281,349000,375.0,36,1,2,1,1,1,0,1,B
282,344000,352.8609464779986,38,1,2,1,1,1,0,1,B
283,790000,1260.0,93,3,3,2,1,1,0,0,B
284,550000,550.0,60,2,2,1,1,1,0,0,B
285,2500000,1355.0,390,3,3,1,2,0,0,0,B
286,513250,310.0,41,1,2,1,1,1,0,1,B
287,320000,600.0,37,1,2,1,1,1,0,1,B
288,575000,598.5839278542239,64,2,2,1,1,1,0,1,B
289,385000,350.0,55,1,2,1,1,1,1,0,B
290,440000,510.0,38,1,2,1,1,0,1,1,B
291,270000,310.0,47,1,2,1,1,1,0,0,B
292,349000,300.0,36,1,2,1,1,1,0,1,B
293,900000,700.0,116,2,2,1,1,1,0,0,B
294,990000,700.0,110,3,2,1,1,0,0,0,B
295,850000,1500.0,120,2,2,1,1,1,0,0,B
296,316000,332.37560104313195,37,1,2,1,1,1,0,1,B
297,460000,790.0,72,2,2,1,1,1,0,0,B
298,479000,570.0,58,2,2,1,1,1,0,1,C
299,400000,570.0,57,2,2,1,1,1,0,1,C
300,427000,400.0,57,2,2,1,1,1,1,1,C
301,750000,650.0,96,3,3,1,2,1,1,1,C
302,345000,480.0,52,2,2,1,1,0,1,1,C
303,380000,590.0,58,2,2,1,1,1,0,1,C
304,560000,600.0,70,3,2,1,1,1,1,1,C
305,241000,271.7926740268472,33,1,2,1,1,0,0,1,C
306,530000,656.0,132,3,2,1,1,0,0,0,C
307,300000,335.0,74,2,2,1,1,1,0,0,C
308,267000,280.0,30,1,2,1,1,1,0,1,C
309,424000,547.0,57,2,2,1,1,1,0,1,C
310,570000,610.0,68,3,2,1,1,1,0,1,C
311,430000,550.0,58,2,2,1,1,1,0,0,C
312,790000,720.0,97,3,3,1,2,1,1,1,C
313,630000,1500.0,176,3,2,1,1,0,0,0,C
314,218000,400.0,30,1,2,1,1,1,0,1,C
315,490000,700.0,150,4,3,1,1,1,1,0,C
316,466000,450.0,57,2,2,1,1,1,0,1,C
317,208191,300.0,36,1,2,1,1,1,0,1,C
318,400000,757.0,100,2,2,1,1,1,0,0,C
319,900000,820.0,96,2,3,2,2,1,0,1,C
320,330000,573.8554660035961,91,3,2,1,1,0,0,0,C
321,275000,494.56231608398207,80,2,2,1,1,0,0,0,C
322,450000,550.0,97,2,2,1,1,1,1,0,C
323,250000,264.0214022967313,30,1,2,1,1,0,0,1,C
324,450000,480.0,98,3,2,1,1,0,1,0,C
325,350000,400.0,88,2,2,1,1,0,0,0,C
326,360000,600.0,69,2,2,1,1,1,0,1,C
327,322000,360.0,55,2,2,1,1,1,0,1,C
328,179000,283.546926578562,44,2,2,1,1,1,0,0,C
329,322000,308.0,55,2,2,1,1,1,0,1,C
330,385000,550.0,65,3,2,1,1,1,0,1,C
331,373000,450.0,57,2,2,1,1,1,0,1,C
332,399000,466.7316204713369,57,3,2,1,1,1,0,1,C
333,332000,350.0,60,2,2,1,2,1,0,1,C
334,350000,385.0,55,2,2,1,1,1,0,1,C
335,319500,386.26228151942473,49,2,2,1,1,1,0,1,C
336,250000,200.0,39,1,2,1,1,1,0,1,C
337,332000,320.0,51,2,2,1,1,1,0,1,C
338,293500,300.0,45,1,2,1,1,1,0,1,C
339,392362,462.8997982428915,57,2,2,1,1,1,0,1,C
340,322000,380.0,55,2,2,1,1,1,0,1,C
341,378360,470.0,62,2,2,1,1,1,0,1,C
342,327000,450.0,55,2,2,1,1,1,0,1,C
