,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,mean_price/m,std_price/m,district_class
140,780,320.0,50,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
141,900,395.1750536741532,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
142,1000,395.0,55,2,2,1,1,1,0,1,29.32834936571854,14.841037015136015,D
143,1000,530.0,62,3,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
144,1100,480.0,62,3,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
145,1500,375.0,55,2,2,1,1,1,0,1,29.32834936571854,14.841037015136015,D
146,550,100.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
147,600,110.0,46,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
148,700,383.07722006888446,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
149,6000,1618.0657108320236,152,2,2,1,1,1,1,0,34.69009028732308,18.39883468281598,D
150,800,50.0,46,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
151,2000,615.0,74,3,2,1,1,1,0,1,29.89023813563203,15.687458326582117,D
152,1200,330.0,70,2,2,1,1,0,0,1,29.89023813563203,15.687458326582117,D
153,3000,500.0,60,1,2,1,2,0,0,1,30.058304914488353,15.139146507512537,D
154,750,50.0,45,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
155,850,444.904204901116,54,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
156,750,386.1016784702017,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
157,600,100.0,49,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
158,700,383.07722006888446,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
159,750,403.68621501296167,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
160,750,386.1016784702017,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
161,700,250.0,45,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
162,1100,350.0,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
163,1300,387.0,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
164,950,359.0,60,2,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
165,950,380.0,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
166,900,195.0,48,2,2,1,1,0,1,0,36.99486182214457,21.366743561269978,D
167,18000,1890.0,245,4,5,2,4,1,0,1,44.611776256408795,23.028738629822744,D
168,16000,1739.0,230,4,3,2,4,1,0,1,37.378971594296566,22.385512356878106,D
169,870,410.9449151761229,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
170,650,170.0,60,2,2,1,1,1,0,0,30.058304914488353,15.139146507512537,D
171,720,180.0,40,2,2,1,1,0,1,0,36.99486182214457,21.366743561269978,D
172,700,383.07722006888446,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
173,700,150.0,46,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
174,628,172.0,52,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
175,700,182.0,38,2,2,1,1,1,0,0,57.232647234429116,30.03211462514222,D
