,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
79,0.37609004974365234,0.006551315411340961,0.008316659927368164,0.0010117444997094981,0.8,0.2,7,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.9}",-99432298073.04958,-72634623216.70102,-63326424223.88577,-61842319761.48669,-53022567988.40414,-70051646652.70543,15953091428.891571,175
80,0.35709223747253416,0.0038926067270943815,0.00871577262878418,0.0009377464035271179,0.8,0.2,7,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",-109387582149.9563,-80946443198.07478,-50372600808.396996,-61454217110.5655,-54415261289.36824,-71315220911.27237,21742614842.651962,183
81,0.06705894470214843,0.0040104399228603595,0.005260896682739258,0.00044521747950299577,0.9,0.01,3,100,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-159071540786.78104,-222848158948.48035,-140463508214.85062,-148060341708.5562,-97843725743.67693,-153657455080.46902,40341656188.75265,239
82,0.0652090072631836,0.0012162373072874691,0.005862045288085938,0.0007592982095209818,0.9,0.01,3,100,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",-158422437974.71896,-223388060372.33984,-140441547275.10266,-148782467447.06784,-97470731630.32112,-153701048939.9101,40596616829.08917,240
83,0.06024999618530273,0.0009862905520575983,0.006060552597045898,0.0005883830360521416,0.9,0.01,3,100,1.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-157481837812.77536,-221900011328.0395,-141684166713.54218,-149896646781.42477,-97108604176.64227,-153614253362.4848,40067290665.74572,238
84,0.11626029014587402,0.0033859536466909115,0.006460332870483398,0.0009819979457885452,0.9,0.01,3,200,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-92393122095.92645,-112786634468.84505,-79755662535.26398,-77103682645.00986,-51996318833.836525,-82807084115.77637,19908836142.711147,211
85,0.11335515975952148,0.0014062363797941134,0.006172561645507812,5.9858088487877075e-05,0.9,0.01,3,200,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.9}",-93072237999.63829,-113803339076.70474,-79521491150.36287,-77246185294.60345,-51619922497.18936,-83052635203.69974,20397046334.388245,212
86,0.10495262145996094,0.0010734494560883255,0.006401252746582031,0.000488753467631025,0.9,0.01,3,200,1.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-91498371634.62894,-113578841735.71857,-80583008020.3662,-76852667593.93396,-51065123676.508125,-82715602532.23116,20348716640.00965,209
87,0.16247429847717285,0.0016963763117386072,0.0060790061950683595,0.0006463111845068852,0.9,0.01,3,300,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",-81888054601.03757,-83708490587.7294,-65998716789.57461,-65335584197.01056,-42584571751.83636,-67903083585.437706,14809699607.258959,145
88,0.1757798194885254,0.01466106635645878,0.006599950790405274,0.0004894343884180951,0.9,0.01,3,300,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",-82622693621.7476,-84976836654.69882,-66178458658.5402,-65308967409.62237,-42864762763.77543,-68390343821.67688,15123585092.448343,157
89,0.15235133171081544,0.002063054491160716,0.006753778457641602,0.0008045168016753071,0.9,0.01,3,300,1.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-81210021879.99379,-85301800174.16269,-67094253629.17284,-64990225230.30266,-42978342771.49549,-68314928737.0255,14895123483.226942,155
90,0.0930943489074707,0.0016246921510717233,0.005999612808227539,0.0006319578535795622,0.9,0.01,5,100,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",-149871184469.09564,-213388337092.12695,-125496298049.19897,-133727553880.06009,-86214889244.04987,-141739652546.9063,41498663686.16181,227
