,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
53,2.317731761932373,0.008826034578418773,0.045264482498168945,0.0003988661169526199,10,4,10,300,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-3441781.9438954513,-5318334.1998066865,-3602638.393366854,-3856354.6863859165,-4123021.8168871803,-4068426.208068418,666313.1877379513,100
54,1.4384544849395753,0.0056102087757689675,0.030754470825195314,0.00027699755767152074,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-3298675.742538607,-5307626.132889643,-3540172.4239891567,-3824967.1124161477,-4079651.3644246943,-4010218.5552516496,699948.8516189175,64
55,2.872339105606079,0.007379540050940308,0.05988645553588867,0.0011018478662687394,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-3164890.3980903057,-5318772.33783287,-3473225.764989153,-3731656.8753673984,-3989956.1752952505,-3935700.3103149952,743706.4315158976,30
56,4.317435216903687,0.012269550706009352,0.08769984245300293,0.0004204388551232447,20,1,2,300,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-3178237.8532593735,-5244357.687026315,-3503129.101687921,-3726868.387907526,-3959483.937297658,-3922415.3934357585,709470.9777924942,20
57,1.2245646476745606,0.03114337802357467,0.025629806518554687,0.0005247756036028554,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-3244246.3488805955,-5242753.37677987,-3503236.123148058,-3785263.4191375175,-4044045.64719878,-3963908.983028964,693384.8710046539,38
58,2.420932245254517,0.013021871069343228,0.048812580108642575,0.0007317247804890616,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-3154379.0013540373,-5258503.350269434,-3441005.8700544736,-3744701.7208373817,-3933958.6649418054,-3906509.721491427,726252.917612804,6
59,3.642756223678589,0.015428895188217677,0.07204232215881348,0.0005411928779089962,20,1,5,300,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-3183265.675938627,-5183496.667258422,-3487780.5774714723,-3735530.7838651044,-3916317.169368603,-3901278.1747804456,686775.7775110194,4
60,1.0432233810424805,0.009933617699693626,0.022387313842773437,0.00023566223436438693,20,1,10,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-3414458.2317053447,-5283794.349221818,-3515789.237758367,-3847588.217497052,-4097671.3703460284,-4031860.281305722,671288.4352033371,70
61,2.0914384841918947,0.011341102091380903,0.04276995658874512,0.0006984198452246514,20,1,10,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-3311299.373418317,-5324832.305303864,-3463206.228635771,-3809221.318889421,-4009504.380103894,-3983612.7212702534,714532.1360292769,53
62,3.122280502319336,0.020302178181750532,0.06275420188903809,0.0007875590872712414,20,1,10,300,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-3332337.1760904975,-5240460.713930299,-3505598.707918607,-3817383.3198576835,-3996891.2776012253,-3978534.2390796617,672310.0011763526,50
